id,Doc,Target,Original_Value,Attached_Value,Type,Annotator,DOI
0,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,method,"['ASTM', 'D3985']",,SYMBOLIC,2,https://doi.org/10.1016/j.fm.2016.03.011
1,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,packaging,"['OPET', '/', 'EVOH', '/', 'PE']",,SYMBOLIC,2,https://doi.org/10.1016/j.fm.2016.03.011
2,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,packaging,['PE'],,SYMBOLIC,2,https://doi.org/10.1016/j.fm.2016.03.011
3,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,packaging,"['PET', '/', 'SiOx', '/', 'PA', '/', 'Peel', '/', 'PP']",,SYMBOLIC,2,https://doi.org/10.1016/j.fm.2016.03.011
4,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,component_qty_value,"(['4'], ['%'])",['starch'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.carbpol.2014.03.049
5,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,component_qty_value,"(['20'], ['%'])",['glycerol'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.carbpol.2014.03.049
6,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,component_qty_value,"(['3'], ['%'])",['CNC'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.carbpol.2014.03.049
7,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,"['starch', 'films', 'reinforced', 'with', 'cellulose', 'nanocrystals']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
8,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,"['Cellulose', 'nanocrystals']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
9,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,['CNC'],,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
10,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,"['Starch', 'films']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
11,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,"['starch', '/', 'CNC']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
12,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,['starch'],,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
13,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,"['reinforced', 'starch', '/', 'CNC', 'films']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
14,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,"['starch', 'films']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
15,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,['Polysaccharides'],,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
16,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,['starch'],,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
17,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,"['cellulose', 'derivates']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
18,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,"['plant', 'gums']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
19,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,['Cellulose'],,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
20,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,method,"['ASTM', 'E96', 'method']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
21,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,"['corn', 'starch']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
22,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,impact_factor_component,['Glycerol'],,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
23,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,packaging,"['starch', '/', 'CNC', 'films']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
24,Water barrier properties of starch films reinforced with cellulose nanocrystals obtained from sugarcane bagasse,method,"['ASTM', 'E96']",,SYMBOLIC,2,https://doi.org/10.1016/j.carbpol.2014.03.049
25,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,relative_humidity,"(['60'], ['%'])","['relative', 'humidity']",QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
26,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,temperature,"(['23'], ['°', 'C'])",['temperature'],QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
27,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,relative_humidity,"(['0'], ['%'])",['RH'],QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
28,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,h2o_permeability,"(['7.1', '×', '10', '^', '−', '4'], ['g', 'mm', '/', 'kPa', 'min', 'm', '^', '2'])",['WVP'],QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
29,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,h2o_permeability,"(['2000'], ['cc', '/', 'm', '^', '2', '×', 'day'])",['OTR'],QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
30,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,o2_permeability,"(['466'], ['cc', '/', 'm', '^', '2', '×', 'day'])",['OTR'],QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
31,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,temperature,"(['25'], ['°', 'C'])",,QUANTITY,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
32,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,component_qty_value,"(['5'], ['%'])",['Corn–zein'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
33,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,component_qty_value,"(['15'], ['%'])",['Corn–zein'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
34,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,component_qty_value,"(['20'], ['%'])",['GLY'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
35,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,component_qty_value,"(['50'], ['%'])",['GLY'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
36,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,component_qty_value,"(['%'], '')",['Corn–zein'],ADDIMENTIONNAL,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
37,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,packaging,"['corn–zein', 'coated', 'polypropylene', 'films']",,SYMBOLIC,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
38,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,impact_factor_component,"['corn–zein', 'coated', 'polypropylene', 'films']",,SYMBOLIC,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
39,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,impact_factor_component,['polypropylene'],,SYMBOLIC,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
40,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,impact_factor_component,['PP'],,SYMBOLIC,2,https://doi.org/10.1016/j.jfoodeng.2009.08.018
