,id,Doc,Target,Original_Value,Attached_Value,Type,Annotator,DOI
0,0,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['3400'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
1,1,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['40,000'], ['cm', '^', '3', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
2,2,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['10'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
3,3,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['0.001'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
4,4,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'], ['carbon', 'dioxide'])",['permeability'],QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
5,5,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['490'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",['permeability'],QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
6,6,Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['71'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",['permeability'],QUANTITY,1,https://doi.org/10.1016/j.carbpol.2006.02.005
7,7,Barrier properties of chitosan coated polyethylene,permeability,"(['1.02', '×', '10', '^', '−', '17'], ['g', '/', 'm', 's', 'Pa'])",['PCO2'],QUANTITY,1,https://doi.org/10.1016/j.memsci.2012.02.037
8,8,Barrier properties of chitosan coated polyethylene,permeability,"(['2.08', '×', '10', '^', '−', '18'], ['g', '/', 'm', 's', 'Pa'])",['PCO2'],QUANTITY,1,https://doi.org/10.1016/j.memsci.2012.02.037
9,9,Barrier properties of chitosan coated polyethylene,permeability,"(['2.66', '×', '10', '^', '−', '17'], ['g', '/', 'm', 's', 'Pa'])",['PCO2'],QUANTITY,1,https://doi.org/10.1016/j.memsci.2012.02.037
10,10,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,permeability,"(['2.0', '×', '10', '^', '−', '7'], ['kg', 'm', '^', '−', '2', 's', '^', '−', '1'])",['CO2'],QUANTITY,1,https://doi.org/10.1016/j.postharvbio.2015.09.022
11,11,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,permeability,"(['56.3', '±', '1.8'], ['barrer'])","['CO2', 'permeation']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2009.11.057
12,12,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,permeability,"(['24.6', '±', '0.9'], ['barrer'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2009.11.057
13,13,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,permeability,"(['30'], ['barrer'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2009.11.057
14,14,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,permeability,"(['25'], ['barrer'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2009.11.057
15,15,Gas permeation properties of poly(lactic acid),permeability,"(['1.2', '(', '10', '^', '−', '10'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg'])","['carbon', 'dioxide', 'permeation']",QUANTITY,1,https://doi.org/10.1016/S0376-7388(01)00446-X
16,16,Gas permeation properties of poly(lactic acid),permeability,"(['10.2'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg', ')'])","['CO2', 'permeation']",QUANTITY,1,https://doi.org/10.1016/S0376-7388(01)00446-X
17,17,Gas permeation properties of poly(lactic acid),permeability,"(['0.2', '(', '10', '^', '−', '10'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg', ')'])","['CO2', 'permeation']",QUANTITY,1,https://doi.org/10.1016/S0376-7388(01)00446-X
18,18,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,permeability,"(['186.47'], ['barrer'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2011.04.021
19,19,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,permeability,"(['16.26'], ['barrer'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2011.04.021
20,20,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,permeability,"(['120'], ['barrer'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2011.04.021
21,21,Gas separation properties of polyether-based polyurethane–silica nanocomposite membranes,permeability,"(['7.69'], ['barrer'])","['carbon', 'dioxide']",QUANTITY,1,https://doi.org/10.1016/j.memsci.2011.04.021
22,22,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['67,790', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",['CO2'],QUANTITY,1,https://doi.org/10.1016/j.jfoodeng.2013.06.008
23,23,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['27,242', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",['CO2'],QUANTITY,1,https://doi.org/10.1016/j.jfoodeng.2013.06.008
24,24,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['7.4', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.jfoodeng.2013.06.008
25,25,Suitability of novel galactomannans as edible coatings for tropical fruits,permeability,"(['61.19', '±', '1.44', '×', '10', '^', '−', '15'], ['g', 'm', '(', 'Pa', 's', 'm', '^', '2', ')', '^', '−', '1'])","['carbon', 'dioxide', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.jfoodeng.2009.04.003
26,26,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '×', '10', '^', '−', '16'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.fm.2016.03.011
27,27,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '0', '×', '10', '^', '−', '15'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.fm.2016.03.011
28,28,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '0', '×', '10', '^', '−', '16'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])","['CO2', 'permeability', '\xa0']",QUANTITY,1,https://doi.org/10.1016/j.fm.2016.03.011
29,29,Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '0', '×', '10', '^', '−', '17'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])","['CO2', 'permeability']",QUANTITY,1,https://doi.org/10.1016/j.fm.2016.03.011
30,30,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes,component_qty_value,"(['12'], ['g'])",['DMF'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.seppur.2012.03.016
31,31,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes,component_qty_value,"(['4'], ['g'])",['MMT'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.seppur.2012.03.016
32,32,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes,component_qty_value,"(['4'], ['wt', '.', '%'])",['TiO2'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.seppur.2012.03.016
33,33,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['8.8'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
34,34,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['21'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
35,35,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['27'], ['%'])",['amylose'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
36,36,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['73'], ['%'])",['amylopectin'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
37,37,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['0'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
38,38,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['10'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
39,39,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['25'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
40,40,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['9'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
41,41,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['28'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
42,42,Antiplasticisation and oxygen permeability of starch–sorbitol films,component_qty_value,"(['28.0'], ['%'])",['sorbitol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/S0144-8617(99)00206-4
43,43,Application of bioplastics for food packaging,component_qty_value,"(['35'], ['g', '/', 'm', '^', '2'])",['PLA'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.tifs.2013.06.003
44,44,Application of bioplastics for food packaging,component_qty_value,"(['310'], ['g', '/', 'm', '^', '2'])",['AlOx'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.tifs.2013.06.003
45,45,Application of bioplastics for food packaging,component_qty_value,"(['210'], ['g', '/', 'm', '^', '2'])",['AlOx'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.tifs.2013.06.003
46,46,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0,0.1'], ['%'])",['CMC'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
47,47,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0.3'], ['%'])",['CMC'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
48,48,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0.5'], ['%'])",['CMC'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
49,49,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0.7'], ['%'])",['CMC'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
50,50,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['1.0'], ['%'])",['CMC'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
51,51,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['3'], ['%'])","['corn', 'starch']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
52,52,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['3.78'], ['%'])",['glycerol'],ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
53,53,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['0', ',', '1'], ['%'])","['corn', 'starch']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
54,54,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['2'], ['%'])","['corn', 'starch']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
55,55,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['4'], ['%'])","['corn', 'starch']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
56,56,Barrier and mechanical properties of carrot puree films,component_qty_value,"(['5'], ['%'])","['corn', 'starch']",ADDIMENTIONNAL,1,https://doi.org/10.1016/j.fbp.2010.03.012
